segment_id,street,direction,length,observed_speed,predicted_speed,travel_time_minutes,estimated_co2,distance_score,time_score,emission_score,distance_focused_score,balanced_score,sustainability_focused_score
8,Garfield,EB,0.5,30.0,28.5,1.05,104.6,0.3506,0.0742,0.3177,0.2644,0.2458,0.2479
169,55th,WB,0.46,24.0,24.4,1.13,96.2,0.2987,0.0871,0.2706,0.2324,0.2175,0.2183
179,Garfield,WB,0.72,31.0,27.8,1.55,150.6,0.6364,0.154,0.5764,0.4857,0.4526,0.4557
180,Garfield,WB,0.27,21.0,19.7,0.82,56.5,0.0519,0.0378,0.0471,0.0472,0.0455,0.0448
181,Garfield,WB,0.5,23.0,22.6,1.33,104.6,0.3506,0.1186,0.3177,0.2777,0.2609,0.2612
185,87th,EB,0.5,26.0,24.5,1.23,104.6,0.3506,0.1022,0.3177,0.2728,0.2553,0.2563
186,North,EB,0.51,29.0,25.0,1.22,106.7,0.3636,0.1017,0.3294,0.2816,0.2633,0.2645
187,North,EB,0.49,26.0,24.2,1.21,102.5,0.3377,0.1002,0.3059,0.2632,0.2464,0.2473
188,North,EB,0.5,22.0,23.9,1.25,104.6,0.3506,0.1064,0.3177,0.2741,0.2567,0.2576
189,North,EB,0.51,26.0,24.2,1.27,106.7,0.3636,0.1083,0.3294,0.2836,0.2655,0.2665
194,North,EB,0.72,20.0,21.9,1.98,150.6,0.6364,0.2216,0.5764,0.506,0.4756,0.476
195,North,EB,0.78,21.0,23.9,1.96,163.2,0.7143,0.2185,0.6471,0.5588,0.5235,0.5252
198,North,WB,0.48,27.0,26.3,1.1,100.4,0.3247,0.0815,0.2941,0.2487,0.2319,0.2334
199,North,WB,0.51,18.0,22.2,1.38,106.7,0.3636,0.1267,0.3294,0.2891,0.2718,0.272
200,North,WB,0.51,27.0,25.7,1.19,106.7,0.3636,0.0965,0.3294,0.2801,0.2615,0.263
201,North,WB,0.5,26.0,25.5,1.18,104.6,0.3506,0.0945,0.3177,0.2705,0.2527,0.254
202,North,WB,0.5,18.0,22.5,1.34,104.6,0.3506,0.1195,0.3177,0.278,0.2612,0.2615
203,North,WB,0.51,17.0,22.2,1.38,106.7,0.3636,0.1265,0.3294,0.2891,0.2717,0.272
204,North,WB,0.49,24.0,25.9,1.14,102.5,0.3377,0.0876,0.3059,0.2595,0.2422,0.2436
206,North,WB,0.51,25.0,24.5,1.25,106.7,0.3636,0.1054,0.3294,0.2827,0.2645,0.2656
207,North,WB,0.49,26.0,22.7,1.3,102.5,0.3377,0.1135,0.3059,0.2672,0.2509,0.2513
